epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0575,1.09077,0.51794,0.80243,0.89029,0.93363,0.96232,0.6279,1.18886,0.59801,0.85227,0.00052,0.00052,0.00052
2,19.5791,1.20419,0.57937,0.79336,0.91095,0.9115,0.96714,0.6073,1.27558,0.61805,0.87588,0.001053,0.001053,0.001053
3,26.7108,1.30936,0.61886,0.81765,0.88997,0.9305,0.96346,0.59007,1.3243,0.64951,0.88657,0.00157888,0.00157888,0.00157888
4,33.8265,1.24757,0.6183,0.834,0.9041,0.91772,0.95326,0.56995,1.37003,0.71339,0.91239,0.0019604,0.0019604,0.0019604
5,40.8827,1.33067,0.67277,0.83625,0.85601,0.79646,0.88919,0.55392,1.40828,0.86158,0.9031,0.0019472,0.0019472,0.0019472
6,47.9866,1.34519,0.65491,0.85693,0.91228,0.82828,0.90255,0.53392,1.44184,0.77323,0.90593,0.001934,0.001934,0.001934
7,55.1032,1.27297,0.66699,0.84625,0.89841,0.86085,0.92512,0.51659,1.46906,0.77652,0.8892,0.0019208,0.0019208,0.0019208
8,62.3837,1.38404,0.67996,0.828,0.8787,0.90265,0.94251,0.58727,1.35424,0.70705,0.89236,0.0019076,0.0019076,0.0019076
9,69.4546,1.35245,0.66309,0.83784,0.94792,0.86726,0.95651,0.58223,1.37396,0.66971,0.86524,0.0018944,0.0018944,0.0018944
10,76.5287,1.30506,0.64976,0.84172,0.92154,0.92035,0.95943,0.51834,1.39051,0.64948,0.87127,0.0018812,0.0018812,0.0018812
11,83.5945,1.32957,0.66109,0.85008,0.89343,0.89028,0.95181,0.5951,1.3602,0.6878,0.90702,0.001868,0.001868,0.001868
12,90.7015,1.28348,0.65877,0.84224,0.91706,0.87611,0.95515,0.6082,1.31658,0.65294,0.88474,0.0018548,0.0018548,0.0018548
13,97.7471,1.3141,0.661,0.83683,0.91163,0.91297,0.96861,0.58848,1.30888,0.64866,0.87629,0.0018416,0.0018416,0.0018416
14,104.856,1.26275,0.63043,0.83269,0.91809,0.86726,0.94655,0.55874,1.41472,0.70652,0.88662,0.0018284,0.0018284,0.0018284
15,112.112,1.3099,0.64834,0.84378,0.91227,0.9202,0.96049,0.60978,1.22467,0.65633,0.86895,0.0018152,0.0018152,0.0018152
16,119.18,1.22281,0.6464,0.8272,0.90935,0.9292,0.9746,0.56849,1.3175,0.65912,0.88284,0.001802,0.001802,0.001802
17,126.297,1.26781,0.6545,0.8478,0.91587,0.84956,0.93845,0.57986,1.25836,0.74432,0.86926,0.0017888,0.0017888,0.0017888
18,133.398,1.24058,0.62747,0.80949,0.88665,0.85841,0.93773,0.58204,1.2911,0.69579,0.86788,0.0017756,0.0017756,0.0017756
19,140.521,1.273,0.61762,0.80551,0.89356,0.89381,0.94254,0.5808,1.27684,0.67007,0.88864,0.0017624,0.0017624,0.0017624
20,147.586,1.2949,0.67181,0.83981,0.86071,0.92961,0.94465,0.59558,1.32036,0.6895,0.90832,0.0017492,0.0017492,0.0017492
21,154.833,1.29327,0.65948,0.82829,0.86869,0.81967,0.8898,0.53711,1.39401,0.79393,0.90319,0.001736,0.001736,0.001736
22,161.948,1.31555,0.63025,0.81483,0.84429,0.84956,0.88994,0.52933,1.47806,0.79706,0.88334,0.0017228,0.0017228,0.0017228
23,169.011,1.26916,0.62515,0.82577,0.92265,0.95011,0.97715,0.62535,1.27612,0.61862,0.86777,0.0017096,0.0017096,0.0017096
24,176.103,1.2377,0.61982,0.81731,0.90927,0.97557,0.97478,0.62648,1.29285,0.62097,0.86473,0.0016964,0.0016964,0.0016964
25,183.181,1.28608,0.61683,0.81513,0.91986,0.91415,0.97024,0.60192,1.34215,0.63369,0.87908,0.0016832,0.0016832,0.0016832
26,190.243,1.29511,0.61984,0.8167,0.91842,0.89665,0.95972,0.61753,1.27749,0.63864,0.88546,0.00167,0.00167,0.00167
27,197.527,1.27343,0.62001,0.85717,0.96279,0.92035,0.9705,0.61134,1.29881,0.62657,0.88093,0.0016568,0.0016568,0.0016568
28,204.589,1.25688,0.61541,0.80901,0.86778,0.92931,0.96283,0.61149,1.27396,0.61177,0.87978,0.0016436,0.0016436,0.0016436
29,211.679,1.2519,0.62132,0.84272,0.91076,0.9292,0.96696,0.61654,1.26469,0.63947,0.8683,0.0016304,0.0016304,0.0016304
30,218.762,1.33842,0.62762,0.82002,0.85967,0.90265,0.94271,0.58142,1.3737,0.68982,0.89513,0.0016172,0.0016172,0.0016172
31,225.827,1.29455,0.64515,0.83124,0.91189,0.92035,0.96825,0.62598,1.30254,0.63338,0.88843,0.001604,0.001604,0.001604
32,232.893,1.29064,0.6035,0.83092,0.91014,0.89632,0.9572,0.59647,1.31908,0.65009,0.86474,0.0015908,0.0015908,0.0015908
33,240.16,1.2361,0.61671,0.81902,0.86697,0.92281,0.95745,0.59499,1.23473,0.66074,0.86026,0.0015776,0.0015776,0.0015776
34,247.261,1.25793,0.62979,0.81832,0.93654,0.91423,0.97774,0.60454,1.33814,0.63205,0.86584,0.0015644,0.0015644,0.0015644
35,254.325,1.26356,0.60285,0.84123,0.89684,0.9292,0.9544,0.61826,1.26594,0.63737,0.86801,0.0015512,0.0015512,0.0015512
36,261.419,1.20627,0.60462,0.81611,0.91319,0.9115,0.95634,0.59403,1.307,0.64123,0.8735,0.001538,0.001538,0.001538
37,268.528,1.2619,0.60624,0.81554,0.8931,0.93805,0.96375,0.62237,1.20878,0.62455,0.85974,0.0015248,0.0015248,0.0015248
38,275.575,1.27173,0.61775,0.80915,0.93012,0.92035,0.96011,0.59002,1.29595,0.67269,0.87861,0.0015116,0.0015116,0.0015116
39,282.671,1.21143,0.61085,0.81838,0.8474,0.93372,0.94006,0.57569,1.31616,0.6785,0.86499,0.0014984,0.0014984,0.0014984
40,289.91,1.24069,0.63107,0.82108,0.8881,0.86726,0.93961,0.59217,1.29382,0.69347,0.86134,0.0014852,0.0014852,0.0014852
41,297.011,1.32598,0.64316,0.81723,0.93543,0.86726,0.95103,0.6181,1.25972,0.64549,0.85814,0.001472,0.001472,0.001472
42,304.092,1.23408,0.60433,0.79691,0.90546,0.93238,0.97227,0.62099,1.2325,0.62024,0.85162,0.0014588,0.0014588,0.0014588
43,311.17,1.2291,0.60194,0.82081,0.89194,0.9646,0.96369,0.5887,1.29983,0.63802,0.85532,0.0014456,0.0014456,0.0014456
44,318.263,1.19843,0.59146,0.81806,0.97142,0.90229,0.96189,0.61887,1.27922,0.6245,0.85833,0.0014324,0.0014324,0.0014324
45,325.345,1.25287,0.61899,0.81406,0.88359,0.95575,0.96468,0.61465,1.25387,0.63522,0.86671,0.0014192,0.0014192,0.0014192
