epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1257,1.27303,0.63975,0.82885,0.92166,0.93805,0.97226,0.6034,1.28412,0.617,0.889,0.00052,0.00052,0.00052
2,18.7386,1.32169,0.662,0.85868,0.85017,0.90387,0.94966,0.54462,1.42004,0.72533,0.86923,0.001053,0.001053,0.001053
3,25.5566,1.4194,0.73513,0.86082,0.82008,0.80673,0.89055,0.52273,1.52883,0.81752,0.9288,0.00157888,0.00157888,0.00157888
4,32.3704,1.51436,0.77864,0.89409,0.85489,0.71681,0.8017,0.41937,1.69504,1.10805,1.02389,0.0019604,0.0019604,0.0019604
5,39.1535,1.51299,0.86329,0.96258,0.80697,0.79646,0.88977,0.52815,1.46511,0.86626,0.96161,0.0019472,0.0019472,0.0019472
6,45.926,1.52479,0.86382,0.94029,0.89536,0.72566,0.85916,0.5026,1.52331,0.86993,0.96837,0.001934,0.001934,0.001934
7,52.7418,1.49881,0.89089,0.91221,0.85679,0.84714,0.90492,0.51124,1.52043,0.85815,0.96334,0.0019208,0.0019208,0.0019208
8,59.5363,1.55336,0.85311,0.9368,0.83696,0.72689,0.85364,0.49243,1.53691,0.87834,1.00105,0.0019076,0.0019076,0.0019076
9,66.3424,1.51139,0.84952,0.90794,0.8135,0.84923,0.90661,0.48548,1.54893,0.84281,0.92812,0.0018944,0.0018944,0.0018944
10,73.131,1.52236,0.84703,0.90827,0.77805,0.89964,0.89771,0.52541,1.43405,0.79831,0.93019,0.0018812,0.0018812,0.0018812
11,79.9628,1.50849,0.83816,0.90489,0.80363,0.84071,0.86807,0.51929,1.40739,1.08491,0.93509,0.001868,0.001868,0.001868
12,86.757,1.47063,0.78169,0.86041,0.79383,0.90265,0.9306,0.55757,1.48738,0.77457,0.90295,0.0018548,0.0018548,0.0018548
13,93.5422,1.54106,0.8207,0.89598,0.90664,0.82301,0.92852,0.52998,1.49368,0.78316,0.90395,0.0018416,0.0018416,0.0018416
14,100.356,1.50548,0.81823,0.88487,0.88273,0.86597,0.92179,0.53949,1.4396,0.7605,0.90919,0.0018284,0.0018284,0.0018284
15,107.15,1.51429,0.79665,0.87959,0.8507,0.64602,0.74176,0.41411,1.70836,1.09117,1.07084,0.0018152,0.0018152,0.0018152
16,113.956,1.4562,0.78101,0.90921,0.89356,0.80531,0.89851,0.52572,1.50398,0.82515,0.9459,0.001802,0.001802,0.001802
17,120.754,1.46635,0.81155,0.89475,0.8965,0.73451,0.85822,0.50392,1.54168,0.93217,0.96524,0.0017888,0.0017888,0.0017888
18,127.536,1.44072,0.79963,0.87385,0.89591,0.73451,0.81626,0.46422,1.59757,0.91054,1.02913,0.0017756,0.0017756,0.0017756
19,134.345,1.50694,0.81054,0.94788,0.86552,0.86726,0.93184,0.54432,1.37388,0.76625,0.91983,0.0017624,0.0017624,0.0017624
20,141.133,1.51889,0.82966,0.88461,0.87137,0.88496,0.90895,0.50777,1.50604,0.78757,0.9333,0.0017492,0.0017492,0.0017492
