epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44467,2.61636,47.3181,1.4024,0.07777,0.25664,0.05293,0.01867,2.18139,20.1344,1.1762,0.00052,0.00052,0.00052
2,14.9038,2.22384,5.13956,1.18327,0.30344,0.40708,0.21574,0.08937,2.19729,12.5028,1.35951,0.00104951,0.00104951,0.00104951
3,19.2264,2.4552,2.52694,1.28158,0,0,0,0,nan,nan,nan,0.00156832,0.00156832,0.00156832
4,23.4632,2.37518,1.8825,1.2732,0.00531,0.23894,0.0031,0.00121,2.97612,8.88069,1.6983,0.0019406,0.0019406,0.0019406
5,27.6838,2.42482,1.62838,1.2411,0.03496,0.31858,0.02601,0.00881,2.77213,4.30745,1.63581,0.0019208,0.0019208,0.0019208
6,31.9003,2.21265,1.39985,1.20957,0.68676,0.45133,0.57283,0.23937,2.16943,1.3775,1.25573,0.001901,0.001901,0.001901
7,36.2369,2.08895,1.34836,1.15486,0.60145,0.46903,0.49326,0.21534,2.2559,1.9016,1.35066,0.0018812,0.0018812,0.0018812
8,40.6177,2.13215,1.27817,1.11201,0.03006,0.75221,0.02632,0.00987,2.14757,22.3947,1.21339,0.0018614,0.0018614,0.0018614
9,44.8626,1.98583,1.27437,1.14729,0.5848,0.65487,0.58422,0.25178,2.08412,1.49151,1.25809,0.0018416,0.0018416,0.0018416
10,49.1788,1.97415,1.20036,1.10506,0.55772,0.46903,0.48248,0.19942,2.3042,1.64779,1.33945,0.0018218,0.0018218,0.0018218
11,53.4067,2.0166,1.17407,1.08379,0.70121,0.71681,0.78837,0.33913,2.0011,1.36067,1.15305,0.001802,0.001802,0.001802
12,57.6947,2.03119,1.21696,1.08317,0.8186,0.61062,0.74958,0.33645,1.94071,1.27786,1.10745,0.0017822,0.0017822,0.0017822
13,61.9378,2.01123,1.22336,1.0948,0.68884,0.57522,0.66478,0.28331,2.04047,1.27837,1.18838,0.0017624,0.0017624,0.0017624
