epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,299.846,1.46629,0.8084,0.9263,0.88085,0.91597,0.93552,0.51214,1.61432,0.79202,0.94412,0.0014456,0.0014456,0.0014456
44,306.789,1.48848,0.76928,0.92338,0.89373,0.86726,0.92066,0.46991,1.70988,0.79428,0.94322,0.0014324,0.0014324,0.0014324
45,313.604,1.54454,0.81796,0.9288,0.90439,0.83186,0.92571,0.49967,1.54526,0.78673,0.95567,0.0014192,0.0014192,0.0014192
46,320.398,1.51427,0.77787,0.90943,0.83775,0.89381,0.92796,0.50375,1.51879,0.77158,0.9292,0.001406,0.001406,0.001406
47,327.322,1.49243,0.7791,0.89445,0.80614,0.84956,0.87937,0.47559,1.6081,0.89245,0.93971,0.0013928,0.0013928,0.0013928
48,334.309,1.54743,0.8248,0.91254,0.86524,0.9115,0.92753,0.53011,1.52768,0.74703,0.93358,0.0013796,0.0013796,0.0013796
49,341.389,1.44379,0.76536,0.8699,0.91466,0.85366,0.94534,0.54739,1.48496,0.74537,0.91707,0.0013664,0.0013664,0.0013664
50,348.448,1.46736,0.80654,0.9106,0.82933,0.9292,0.94706,0.58613,1.39541,0.73095,0.90873,0.0013532,0.0013532,0.0013532
51,355.374,1.47673,0.83289,0.88981,0.88293,0.86769,0.95122,0.56406,1.43382,0.76387,0.91583,0.00134,0.00134,0.00134
52,362.162,1.48479,0.80875,0.89959,0.91405,0.82301,0.93828,0.53292,1.53278,0.78172,0.91879,0.0013268,0.0013268,0.0013268
53,368.947,1.46654,0.77544,0.86445,0.86917,0.88187,0.94629,0.58652,1.38528,0.74518,0.88652,0.0013136,0.0013136,0.0013136
54,375.82,1.41235,0.72977,0.87921,0.85694,0.9292,0.9481,0.54517,1.43655,0.74765,0.91738,0.0013004,0.0013004,0.0013004
55,382.594,1.49323,0.75831,0.89944,0.86102,0.93805,0.94327,0.56902,1.37935,0.70199,0.90383,0.0012872,0.0012872,0.0012872
56,389.468,1.42692,0.73493,0.8666,0.84224,0.94492,0.9436,0.53018,1.42389,0.71714,0.90925,0.001274,0.001274,0.001274
57,396.301,1.49327,0.76504,0.898,0.88549,0.88968,0.94766,0.52145,1.47173,0.75692,0.93163,0.0012608,0.0012608,0.0012608
58,403.075,1.37823,0.72715,0.86728,0.91687,0.8785,0.94661,0.53807,1.47493,0.73086,0.90546,0.0012476,0.0012476,0.0012476
59,410.051,1.49154,0.76335,0.90124,0.89179,0.90265,0.93412,0.52682,1.44598,0.70294,0.89547,0.0012344,0.0012344,0.0012344
