epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7992,1.04748,0.5114,0.80952,0.9459,0.88496,0.96589,0.6379,1.19383,0.58061,0.85392,0.00052,0.00052,0.00052
2,19.5117,1.1685,0.55687,0.81814,0.93043,0.94676,0.9668,0.63573,1.15307,0.58277,0.85177,0.001053,0.001053,0.001053
3,26.5728,1.20972,0.57542,0.81614,0.93085,0.93805,0.95522,0.60259,1.28485,0.59667,0.87111,0.00157888,0.00157888,0.00157888
4,33.6203,1.23261,0.60803,0.82125,0.9578,0.86726,0.94282,0.60558,1.28054,0.65831,0.86832,0.0019604,0.0019604,0.0019604
5,40.6331,1.2363,0.60139,0.82391,0.9028,0.90417,0.92624,0.54262,1.38454,0.67969,0.88534,0.0019472,0.0019472,0.0019472
6,47.6168,1.22765,0.60817,0.83362,0.90619,0.9115,0.94822,0.6161,1.22139,0.6175,0.86753,0.001934,0.001934,0.001934
7,54.6553,1.25931,0.61978,0.81029,0.84165,0.97345,0.94454,0.59183,1.34086,0.63965,0.86129,0.0019208,0.0019208,0.0019208
8,61.8447,1.28449,0.63074,0.83039,0.84086,0.7949,0.87264,0.51986,1.40973,0.77842,0.90377,0.0019076,0.0019076,0.0019076
9,68.8968,1.27317,0.64609,0.82231,0.93167,0.85841,0.90293,0.54439,1.35738,0.70904,0.89003,0.0018944,0.0018944,0.0018944
10,75.9274,1.27883,0.64008,0.84734,0.93702,0.85841,0.92743,0.55882,1.38311,0.71284,0.88537,0.0018812,0.0018812,0.0018812
11,82.9362,1.2282,0.6686,0.83948,0.92496,0.87265,0.94116,0.57203,1.37477,0.70711,0.87641,0.001868,0.001868,0.001868
12,89.9587,1.24942,0.6651,0.8355,0.98494,0.84956,0.95778,0.58225,1.37724,0.62705,0.87651,0.0018548,0.0018548,0.0018548
13,96.9727,1.3108,0.63931,0.816,0.91336,0.83963,0.9467,0.57375,1.39742,0.73156,0.88006,0.0018416,0.0018416,0.0018416
14,104.189,1.25735,0.64262,0.84146,0.88664,0.96909,0.97093,0.60586,1.31785,0.61977,0.89287,0.0018284,0.0018284,0.0018284
15,111.214,1.24536,0.6283,0.84406,0.88405,0.87716,0.94269,0.58318,1.36112,0.66854,0.90746,0.0018152,0.0018152,0.0018152
16,118.236,1.26409,0.63445,0.81741,0.93139,0.84098,0.95916,0.60641,1.30062,0.64197,0.87545,0.001802,0.001802,0.001802
17,125.276,1.28166,0.63159,0.82944,0.93717,0.9292,0.95368,0.6127,1.25703,0.62352,0.87647,0.0017888,0.0017888,0.0017888
18,132.28,1.31666,0.6451,0.83077,0.88815,0.88496,0.93588,0.61009,1.26345,0.65093,0.87327,0.0017756,0.0017756,0.0017756
19,139.318,1.26239,0.64201,0.85451,0.8994,0.9494,0.9694,0.58531,1.33792,0.65334,0.8741,0.0017624,0.0017624,0.0017624
20,146.504,1.24357,0.62914,0.84636,0.8379,0.87611,0.93885,0.553,1.42271,0.69598,0.8946,0.0017492,0.0017492,0.0017492
21,153.512,1.30343,0.63304,0.83301,0.92221,0.9292,0.95128,0.5626,1.44665,0.64414,0.87755,0.001736,0.001736,0.001736
22,160.564,1.25795,0.63417,0.83216,0.93059,0.83051,0.90564,0.5726,1.36142,0.68082,0.88678,0.0017228,0.0017228,0.0017228
23,167.585,1.28046,0.6395,0.84093,0.94427,0.89967,0.94858,0.58482,1.28494,0.66383,0.88052,0.0017096,0.0017096,0.0017096
24,174.606,1.24144,0.62943,0.83659,0.92761,0.90727,0.94973,0.61248,1.21063,0.62132,0.86238,0.0016964,0.0016964,0.0016964
25,181.63,1.17381,0.58927,0.8238,0.931,0.88496,0.95179,0.61453,1.26352,0.63083,0.85993,0.0016832,0.0016832,0.0016832
26,188.804,1.20301,0.6086,0.8402,0.9178,0.88929,0.95526,0.60107,1.27919,0.64693,0.86921,0.00167,0.00167,0.00167
27,195.852,1.20643,0.59478,0.83501,0.84742,0.93385,0.94932,0.61004,1.29229,0.64472,0.86086,0.0016568,0.0016568,0.0016568
28,202.862,1.29728,0.64386,0.81891,0.87789,0.89072,0.94651,0.6154,1.2627,0.64873,0.86737,0.0016436,0.0016436,0.0016436
29,209.887,1.34387,0.66271,0.83122,0.80548,0.80617,0.87401,0.53024,1.4792,0.86251,0.88976,0.0016304,0.0016304,0.0016304
30,216.873,1.30892,0.65272,0.841,0.9636,0.86726,0.94831,0.57831,1.39996,0.67059,0.87373,0.0016172,0.0016172,0.0016172
31,223.898,1.33931,0.63544,0.84222,0.90267,0.85841,0.95329,0.5739,1.34066,0.67191,0.89411,0.001604,0.001604,0.001604
32,231.096,1.25174,0.61061,0.80937,0.93292,0.86153,0.93845,0.60947,1.21513,0.62353,0.87059,0.0015908,0.0015908,0.0015908
33,238.123,1.20246,0.61669,0.83365,0.92445,0.89381,0.96689,0.62368,1.22216,0.59322,0.85612,0.0015776,0.0015776,0.0015776
34,245.179,1.27473,0.61931,0.8213,0.82172,0.73422,0.869,0.4886,1.55696,0.88291,0.92909,0.0015644,0.0015644,0.0015644
35,252.196,1.26712,0.64558,0.8194,0.92153,0.93805,0.97079,0.61054,1.28303,0.62265,0.88026,0.0015512,0.0015512,0.0015512
36,259.191,1.17804,0.58557,0.82016,0.87447,0.92472,0.94787,0.62066,1.30397,0.60904,0.87693,0.001538,0.001538,0.001538
37,266.242,1.25766,0.61798,0.8183,0.93891,0.81608,0.94767,0.61131,1.26751,0.6597,0.86921,0.0015248,0.0015248,0.0015248
38,273.428,1.25909,0.65242,0.84754,0.90765,0.89381,0.96216,0.62081,1.26297,0.6187,0.8706,0.0015116,0.0015116,0.0015116
39,280.468,1.25275,0.61622,0.84691,0.8633,0.95013,0.96558,0.61582,1.27628,0.62922,0.85341,0.0014984,0.0014984,0.0014984
40,287.458,1.22719,0.59826,0.81658,0.90934,0.92035,0.96806,0.63217,1.19548,0.58939,0.85598,0.0014852,0.0014852,0.0014852
41,294.469,1.21025,0.6075,0.83419,0.85645,0.95036,0.95816,0.59141,1.2988,0.67213,0.87755,0.001472,0.001472,0.001472
42,301.527,1.24168,0.61213,0.82306,0.91731,0.88353,0.94538,0.59924,1.22636,0.65361,0.85809,0.0014588,0.0014588,0.0014588
43,308.532,1.22314,0.59422,0.82045,0.91894,0.90287,0.96921,0.61858,1.2317,0.58941,0.86214,0.0014456,0.0014456,0.0014456
44,315.745,1.19207,0.60534,0.82033,0.93254,0.9469,0.96202,0.5987,1.34245,0.62891,0.87578,0.0014324,0.0014324,0.0014324
45,322.762,1.24116,0.60717,0.83533,0.91402,0.92035,0.97019,0.61271,1.27035,0.61827,0.85921,0.0014192,0.0014192,0.0014192
46,329.745,1.13918,0.57619,0.81952,0.89039,0.9292,0.9431,0.61028,1.23922,0.6093,0.86715,0.001406,0.001406,0.001406
47,336.782,1.16013,0.60566,0.8057,0.93099,0.87611,0.94898,0.61606,1.28372,0.61875,0.86635,0.0013928,0.0013928,0.0013928
48,343.81,1.1625,0.57696,0.83718,0.94836,0.9115,0.97157,0.6425,1.2133,0.59602,0.8635,0.0013796,0.0013796,0.0013796
49,350.922,1.2082,0.61619,0.80267,0.94653,0.93993,0.9762,0.61888,1.2972,0.6061,0.86995,0.0013664,0.0013664,0.0013664
50,358.102,1.20923,0.59164,0.8146,0.95301,0.8974,0.96311,0.63008,1.28366,0.59523,0.86373,0.0013532,0.0013532,0.0013532
51,365.118,1.17927,0.57918,0.81839,0.95214,0.90265,0.97388,0.62762,1.23152,0.58798,0.85048,0.00134,0.00134,0.00134
52,372.159,1.20943,0.58511,0.82129,0.90058,0.92035,0.95806,0.60898,1.20103,0.5991,0.87024,0.0013268,0.0013268,0.0013268
53,379.177,1.14471,0.57143,0.83114,0.92283,0.9524,0.95886,0.63489,1.14835,0.57117,0.85306,0.0013136,0.0013136,0.0013136
54,386.235,1.2499,0.58066,0.81022,0.91372,0.93721,0.96977,0.63362,1.21319,0.58899,0.85995,0.0013004,0.0013004,0.0013004
55,393.251,1.18564,0.57062,0.81196,0.89774,0.93233,0.95415,0.62587,1.25894,0.59063,0.87779,0.0012872,0.0012872,0.0012872
56,400.428,1.19027,0.58017,0.8075,0.92852,0.91967,0.95906,0.62928,1.23523,0.58481,0.85895,0.001274,0.001274,0.001274
57,407.449,1.19203,0.5681,0.81764,0.99017,0.89176,0.97513,0.62708,1.30796,0.62479,0.87571,0.0012608,0.0012608,0.0012608
58,414.446,1.21362,0.56476,0.80039,0.86965,0.84071,0.9212,0.59121,1.30314,0.73242,0.89542,0.0012476,0.0012476,0.0012476
59,421.481,1.13613,0.55047,0.79798,0.95988,0.9292,0.97388,0.62872,1.27132,0.58252,0.87208,0.0012344,0.0012344,0.0012344
60,428.491,1.12929,0.55902,0.81153,0.89391,0.9646,0.97498,0.63816,1.23052,0.58595,0.85833,0.0012212,0.0012212,0.0012212
61,435.523,1.10045,0.54054,0.8222,0.94902,0.87611,0.96965,0.60948,1.3414,0.6183,0.85881,0.001208,0.001208,0.001208
62,442.763,1.22712,0.58072,0.81679,0.93049,0.94777,0.97317,0.64556,1.20781,0.57426,0.85068,0.0011948,0.0011948,0.0011948
63,449.831,1.18925,0.55133,0.79814,0.95434,0.92482,0.96402,0.66031,1.20584,0.55892,0.85496,0.0011816,0.0011816,0.0011816
64,456.941,1.19349,0.57857,0.822,0.95953,0.90265,0.96784,0.64411,1.24977,0.57878,0.86098,0.0011684,0.0011684,0.0011684
65,463.969,1.13662,0.55588,0.81962,0.92932,0.93805,0.96847,0.6393,1.21728,0.55258,0.85111,0.0011552,0.0011552,0.0011552
66,470.982,1.13732,0.55939,0.81054,0.92229,0.93805,0.97796,0.63102,1.25171,0.58696,0.8511,0.001142,0.001142,0.001142
67,478.044,1.15865,0.56558,0.82484,0.90639,0.94257,0.97301,0.6502,1.18845,0.57575,0.86055,0.0011288,0.0011288,0.0011288
68,485.164,1.13543,0.56104,0.80767,0.94043,0.90265,0.96194,0.61714,1.27357,0.57465,0.86137,0.0011156,0.0011156,0.0011156
69,492.172,1.18548,0.55285,0.80049,0.95147,0.9469,0.97138,0.64386,1.22513,0.54772,0.85253,0.0011024,0.0011024,0.0011024
70,499.182,1.18448,0.57584,0.80362,0.92232,0.94563,0.96156,0.64148,1.1838,0.55505,0.84967,0.0010892,0.0010892,0.0010892
71,506.209,1.11802,0.5544,0.80045,0.93738,0.92726,0.97623,0.63876,1.16161,0.54922,0.83748,0.001076,0.001076,0.001076
72,513.253,1.18347,0.55642,0.7929,0.92684,0.9646,0.97451,0.62646,1.26326,0.57044,0.85118,0.0010628,0.0010628,0.0010628
73,520.281,1.1558,0.57501,0.81663,0.97156,0.90713,0.96848,0.62676,1.20926,0.61483,0.83969,0.0010496,0.0010496,0.0010496
74,527.427,1.1608,0.54774,0.80524,0.96066,0.86451,0.96477,0.61953,1.25692,0.60893,0.8524,0.0010364,0.0010364,0.0010364
